Symbol,Company,Sector,Date,Close_Price,Change_%,Volume,Volume_Avg,Volume_Ratio,Day_High,Day_Low,RSI_14,RSI_Signal,SMA_20,SMA_50,MACD,MACD_Signal,Total_Score,Score_Grade,Technical_Score,Fundamental_Score,Sentiment_Score,Momentum_Score,Risk_Level,Recommendation,Target_Support,Target_Resistance
UNILEVER,UNILEVER,,2026-02-20,0,0,0,0,1.0,0,0,50,Neutral,0,0,0,Bearish,33,F,10,12,3,10,Low,SELL,0,0
AGP,AGP,,2026-02-20,0,0,477862,0,477862.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
AKGL,AKGL,,2026-02-20,0,0,5,0,5.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ALAC,ALAC,,2026-02-20,0,0,396234,0,396234.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ALIFE,ALIFE,,2026-02-20,0,0,3353,0,3353.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ALNRS,ALNRS,,2026-02-20,0,0,30,0,30.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ALTN,ALTN,,2026-02-20,0,0,542834,0,542834.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
AMBL,AMBL,,2026-02-20,0,0,100728,0,100728.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
AMSL,AMSL,,2026-02-20,0,0,0,0,1.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
AMTEX,AMTEX,,2026-02-20,0,0,1974944,0,1974944.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ANL,ANL,,2026-02-20,0,0,925512,0,925512.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ANLNV,ANLNV,,2026-02-20,0,0,2650,0,2650.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ANLPS,ANLPS,,2026-02-20,0,0,0,0,1.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ANNT,ANNT,,2026-02-20,0,0,0,0,1.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ANSM,ANSM,,2026-02-20,0,0,303,0,303.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ANTM,ANTM,,2026-02-20,0,0,1701,0,1701.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
APL,APL,,2026-02-20,0,0,5731,0,5731.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
APOT,APOT,,2026-02-20,0,0,0,0,1.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ARCTM,ARCTM,,2026-02-20,0,0,3135,0,3135.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ARPAK,ARPAK,,2026-02-20,0,0,7735,0,7735.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ARPL,ARPL,,2026-02-20,0,0,2429,0,2429.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ARUJ,ARUJ,,2026-02-20,0,0,24130,0,24130.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
ASC,ASC,,2026-02-20,0,0,259016,0,259016.0,0,0,50,Neutral,0,0,0,Bearish,0,F,0,0,0,0,Low,SELL,0,0
