Symbol,Company,Sector,Date,Close_Price,Change_%,Volume,Volume_Avg,Volume_Ratio,Day_High,Day_Low,RSI_14,RSI_Signal,SMA_20,SMA_50,MACD,MACD_Signal,Total_Score,Score_Grade,Technical_Score,Fundamental_Score,Sentiment_Score,Momentum_Score,Risk_Level,Recommendation,Target_Support,Target_Resistance
TPLP,TPLP,,2026-02-02,0,0,815184,0,815184.0,0,0,50,Neutral,0,0,0,Bearish,51,C-,10,28,5,10,Low,HOLD,11.5,12.8
SPCL,SPCL,,2026-02-02,0,0,143500,0,143500.0,0,0,50,Neutral,0,0,0,Bearish,49,D,10,28,3,10,Low,REDUCE,0.8,0.95
786,786,,2026-02-02,0,0,9527,0,9527.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,11.21,12.97
AKDSL,AKDSL,,2026-02-02,0,0,417904,0,417904.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,40.2,50.19
CYAN,CYAN,,2026-02-02,0,0,12357,0,12357.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,44.5,47.95
FCEL,FCEL,,2026-02-02,0,0,188601,0,188601.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,7.1,8.35
FCSC,FCSC,,2026-02-02,0,0,296768,0,296768.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,6.04,6.95
IREIT,IREIT,,2026-02-02,0,0,150193,0,150193.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,9.1,9.52
JSIL,JSIL,,2026-02-02,0,0,5202,0,5202.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,39.0,45.0
MRNS,MRNS,,2026-02-02,0,0,9198,0,9198.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,70.2,79.98
PINL,PINL,,2026-02-02,0,0,1100,0,1100.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,8.65,10.35
RICL,RICL,,2026-02-02,0,0,13236,0,13236.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,16.0,18.0
UDPL,UDPL,,2026-02-02,0,0,7232,0,7232.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,122.1,135.0
GEMPACRA,GEMPACRA,,2026-02-02,0,0,61640,0,61640.0,0,0,50,Neutral,0,0,0,Bearish,45,D,10,22,5,10,Low,REDUCE,36.02,40.7
JGICL,JGICL,,2026-02-02,0,0,3340,0,3340.0,0,0,50,Neutral,0,0,0,Bearish,45,D,10,22,5,10,Low,REDUCE,84.0,86.25
TSBL,TSBL,,2026-02-02,0,0,1433275,0,1433275.0,0,0,50,Neutral,0,0,0,Bearish,45,D,10,24,3,10,Low,REDUCE,3.15,3.76
