Date,Time,Symbol,Company,Severity,Current_Price,Change_%,RSI,Volume_Ratio,Risk_Flags,Action_Required
2026-02-17,16:59,786,786,High,0,0,50,33244.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,786R,786R,High,0,0,50,198112.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AABS,AABS,High,0,0,50,61.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AASM,AASM,High,0,0,50,14500.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AATM,AATM,High,0,0,50,1168.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,ABL,ABL,High,0,0,50,55241.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,ABOT,ABOT,High,0,0,50,1768.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,ACIETF,ACIETF,High,0,0,50,8000.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,ACPL,ACPL,High,0,0,50,174112.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,ADAMS,ADAMS,High,0,0,50,730.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,ADMM,ADMM,High,0,0,50,153597.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AGHA,AGHA,High,0,0,50,2509086.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AGIC,AGIC,High,0,0,50,3074.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AGICR2,AGICR2,High,0,0,50,350180.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AGIL,AGIL,High,0,0,50,34130.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AGL,AGL,High,0,0,50,348365.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AGLNCPS,AGLNCPS,High,0,0,50,406.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AGP,AGP,High,0,0,50,68181.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AGSML,AGSML,High,0,0,50,140278.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AGTL,AGTL,High,0,0,50,34011.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AHCL,AHCL,High,0,0,50,1470094.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AHL,AHL,High,0,0,50,102015.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AICL,AICL,High,0,0,50,220692.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AIRLINK,AIRLINK,High,0,0,50,1102539.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AKBL,AKBL,High,0,0,50,1133659.0,Abnormal volume spike (3x avg),Review immediately
2026-02-17,16:59,AKDHL,AKDHL,High,0,0,50,1044.0,Abnormal volume spike (3x avg),Review immediately
